name,max_players,max_playtime,min_age,min_players,min_playtime,playing_time,year_published,cat1,average_rating,users_rated,rating_adj_value
Hanabi,5,25,8,2,25,25,2010,Card Game,7.21583,23717,10
Terra Mystica,5,150,12,2,60,150,2012,Economic,8.29198,23684,5
Dominion: Intrigue,4,30,13,2,30,30,2009,Card Game,7.79419,23156,2
Magic: The Gathering,2,20,13,2,20,20,1993,Fantasy,7.43768,22883,5
Dead of Winter: A Crossroads Game,5,210,14,2,45,210,2014,Bluffing,7.86596,22830,10
Risk,6,120,10,2,120,120,1959,Negotiation,5.57906,21836,10
Caylus,5,150,12,2,60,150,2005,Economic,7.86152,21806,1
Betrayal at House on the Hill,6,60,12,3,60,60,2004,Adventure,7.144,21688,10
Alhambra,6,60,8,2,45,60,2003,Other,7.04424,21317,NA
Coup,6,15,9,2,15,15,2012,Bluffing,7.12316,20679,NA
Galaxy Trucker,4,60,10,2,60,60,2007,Other,7.47467,20647,NA
Eclipse,6,200,14,2,60,200,2011,Other,8.01311,20285,NA
Android: Netrunner,2,45,14,2,45,45,2012,Bluffing,8.0044,20271,2
Shadows over Camelot,7,80,10,3,60,80,2005,Fantasy,7.1574,20216,4
Tigris & Euphrates,4,90,12,2,90,90,1997,Strategy,7.72379,20166,4
7 Wonders Duel,2,30,10,2,30,30,2015,Card Game,8.1939,20088,4
Hive,2,20,9,2,20,20,2001,Strategy,7.34252,20026,9
Takenoko,4,45,8,2,45,45,2011,Other,7.35247,19888,1
BANG!,7,40,8,4,20,40,2002,Bluffing,6.55752,19678,1
RoboRally,8,120,12,2,45,120,1994,Other,7.15355,19371,7
Memoir '44,6,60,8,2,30,60,2004,Other,7.53029,19351,2
Le Havre,5,150,12,1,30,150,2008,Economic,7.93096,18934,6
Cosmic Encounter,5,120,12,3,60,120,2008,Negotiation,7.60639,18851,10
San Juan,4,60,10,2,45,60,2004,Economic,7.29723,18718,10
Star Realms,2,20,12,2,20,20,2014,Card Game,7.64123,18434,9
El Grande,5,120,12,2,60,120,1995,Other,7.80446,18423,8
Patchwork,2,30,8,2,15,30,2014,Strategy,7.83164,18379,9
Jaipur,2,30,12,2,30,30,2009,Card Game,7.54421,18252,9
Mage Knight Board Game,4,150,14,1,150,150,2011,Adventure,8.13794,18160,4
Robinson Crusoe: Adventures on the Cursed Island,4,180,14,1,90,180,2012,Adventure,8.01707,17999,5
Tzolk'in: The Mayan Calendar,4,90,13,2,90,90,2012,Economic,7.94181,17762,2
A Game of Thrones: The Board Game (Second Edition),6,240,14,3,120,240,2011,Negotiation,7.74,17718,8
Sushi Go!,5,15,8,2,15,15,2013,Card Game,7.14811,17506,3
Pandemic Legacy: Season 1,4,60,13,2,60,60,2015,Other,8.66878,17251,6
Five Tribes,4,80,13,2,40,80,2014,Fantasy,7.83284,17225,1
Blokus,4,20,5,2,20,20,2000,Strategy,6.94393,16879,9
Caverna: The Cave Farmers,7,210,12,1,30,210,2013,Economic,8.18155,16798,7
Star Wars: X-Wing Miniatures Game,2,45,14,2,30,45,2012,Bluffing,7.8786,16772,3
Saboteur,10,30,8,3,30,30,2004,Card Game,6.6393,16460,2
Eldritch Horror,8,240,14,1,120,240,2013,Fantasy,7.94433,16196,4
Smash Up,4,45,12,2,45,45,2012,Fantasy,6.89171,15954,10
The Resistance: Avalon,10,30,13,5,30,30,2012,Negotiation,7.72088,15896,4
For Sale,6,20,8,3,20,20,1997,Economic,7.22213,15544,6
Machi Koro,4,30,10,2,30,30,2012,Card Game,6.76032,15456,9
Ra,5,60,12,2,45,60,1999,Other,7.47505,15378,5
Through the Ages: A Story of Civilization,4,240,12,2,240,240,2006,Economic,8.09024,15337,7
Guillotine,5,30,12,2,30,30,1998,Card Game,6.53873,15334,10
"Hey, That's My Fish!",4,20,8,2,20,20,2003,Strategy,6.77453,15267,5
Elder Sign,8,90,13,1,90,90,2011,Adventure,7.01705,15248,8
Kingsburg,5,90,13,2,90,90,2007,Fantasy,7.24092,15211,0
Acquire,6,90,12,3,90,90,1964,Economic,7.3583,15195,8
Tsuro,8,15,8,2,15,15,2004,Strategy,6.68825,15151,4
Thurn and Taxis,4,60,13,2,60,60,2006,Other,7.13008,15146,7
Sheriff of Nottingham,5,60,13,3,60,60,2014,Negotiation,7.35219,15055,1
Twilight Imperium (Third Edition),6,300,12,3,180,300,2005,Negotiation,7.92399,14996,7
